waypoint,gt_x,gt_y,est_x,est_y,pos_err_m,gt_ap_x,gt_ap_y,est_ap_x,est_ap_y,ap_err_m,time_ms
1,1.0,0.0,0.2872041,-1.3734E-4,0.713,3.5,4.0,NaN,NaN,,1776883474839
2,2.0,0.0,1.3404138,0.015146832,0.660,3.5,4.0,NaN,NaN,,1776883477506
3,3.0,0.0,2.554661,-0.021980481,0.446,3.5,4.0,4.3560867,-2.5387704,6.595,1776883480193
4,3.0,1.0,2.7589014,1.2668651,0.360,3.5,4.0,3.3416963,1.0306345,2.974,1776883483674
5,3.0,2.0,2.636844,2.102571,0.377,3.5,4.0,3.2922492,1.8476996,2.162,1776883486328
6,3.0,3.0,2.695268,2.9943893,0.305,3.5,4.0,3.2731826,1.9697914,2.043,1776883489015
7,3.0,4.0,2.6981938,3.497422,0.586,3.5,4.0,3.2626057,1.9965231,2.017,1776883491560
