waypoint,gt_x,gt_y,est_x,est_y,pos_err_m,gt_ap_x,gt_ap_y,est_ap_x,est_ap_y,ap_err_m,time_ms
1,1.0,0.0,0.98963445,-2.5832801E-4,0.010,0.0,4.0,NaN,NaN,,1776884821747
2,2.0,0.0,1.567956,0.06603788,0.437,0.0,4.0,NaN,NaN,,1776884824866
3,3.0,0.0,2.4511716,-0.2242067,0.593,0.0,4.0,-0.58732885,-6.287397,10.304,1776884827726
4,3.0,1.0,2.413115,1.2567282,0.641,0.0,4.0,1.474366,3.9315467,1.476,1776884831969
5,3.0,2.0,2.3455884,2.0933547,0.661,0.0,4.0,1.4660289,4.2206984,1.483,1776884834962
6,3.0,3.0,2.3455303,2.7038713,0.718,0.0,4.0,1.4507146,4.1913605,1.463,1776884837584
7,3.0,4.0,2.2600358,4.126973,0.751,0.0,4.0,1.519165,3.8481026,1.527,1776884840386
