waypoint,gt_x,gt_y,est_x,est_y,pos_err_m,gt_ap_x,gt_ap_y,est_ap_x,est_ap_y,ap_err_m,time_ms
1,1.0,0.0,1.1565945,3.5596814E-4,0.157,0.0,4.0,NaN,NaN,,1776885026875
2,2.0,0.0,1.4654948,-0.029978067,0.535,0.0,4.0,NaN,NaN,,1776885030085
3,3.0,0.0,2.3527713,-0.80330354,1.032,0.0,4.0,-5.9420934,-10.669023,15.827,1776885032879
4,3.0,1.0,2.5438647,0.69790906,0.547,0.0,4.0,5.363229,-5.449406,10.865,1776885037086
5,2.0,1.0,1.2824426,0.040260233,1.198,0.0,4.0,6.414759,-0.33908892,7.744,1776885041212
6,1.0,1.0,0.7042062,-0.048115257,1.089,0.0,4.0,0.761161,0.2652135,3.812,1776885044437
7,0.0,1.0,0.7219373,-0.09576217,1.312,0.0,4.0,0.60404724,0.27952933,3.769,1776885047737
8,0.0,2.0,0.43713966,0.36753452,1.690,0.0,4.0,-3.2429123,0.24312258,4.963,1776885052219
9,1.0,2.0,1.0335497,0.7546905,1.246,0.0,4.0,-4.482508,2.5707932,4.705,1776885056667
10,2.0,2.0,2.2700322,0.60336626,1.422,0.0,4.0,-3.80119,7.04156,4.868,1776885059908
11,3.0,2.0,2.1401856,0.6731573,1.581,0.0,4.0,-3.9320612,6.715532,4.779,1776885062708
12,3.0,3.0,2.9074702,1.7826927,1.221,0.0,4.0,-2.1181087,10.531846,6.867,1776885066908
13,2.0,3.0,1.900239,2.094181,0.911,0.0,4.0,-2.2234097,8.883737,5.366,1776885071446
14,1.0,3.0,0.9860655,1.8613247,1.139,0.0,4.0,-1.8209001,8.353437,4.719,1776885074389
15,0.0,3.0,-0.61851084,1.9489849,1.220,0.0,4.0,-1.0968481,7.972436,4.121,1776885077589
16,0.0,4.0,-2.409028,3.688769,2.429,0.0,4.0,-0.07586395,7.621976,3.623,1776885082135
17,1.0,4.0,-0.62985384,3.1872668,1.821,0.0,4.0,0.7151805,6.856205,2.944,1776885087203
18,2.0,4.0,0.9807628,3.1048722,1.357,0.0,4.0,0.59848344,6.401216,2.475,1776885090367
19,3.0,4.0,2.404071,3.1499891,1.038,0.0,4.0,-2.5555255,3.0389338,2.730,1776885098503
