waypoint,gt_x,gt_y,est_x,est_y,pos_err_m,gt_ap_x,gt_ap_y,est_ap_x,est_ap_y,ap_err_m,time_ms
1,1.0,0.0,0.9726264,3.1330128E-4,0.027,3.5,0.0,NaN,NaN,,1776881949439
2,2.0,0.0,2.247721,-0.06756902,0.257,3.5,0.0,NaN,NaN,,1776881952637
3,3.0,0.0,3.2104573,-0.7941413,0.822,3.5,0.0,-1.8619999,1.672791,5.617,1776881955277
4,3.0,1.0,2.5503836,0.10413496,1.002,3.5,0.0,0.83709323,1.715854,3.168,1776881959376
5,2.0,1.0,1.8373615,0.4417773,0.581,3.5,0.0,0.45814174,-0.2786667,3.055,1776881963932
6,1.0,1.0,1.129746,0.16944887,0.841,3.5,0.0,0.47063833,-0.21118926,3.037,1776881966566
7,0.0,1.0,0.42658338,0.025156062,1.064,3.5,0.0,0.47001463,-0.20742564,3.037,1776881969452
8,0.0,2.0,-0.1550654,2.3110952,0.348,3.5,0.0,0.62135905,-1.9676263,3.487,1776881973687
9,1.0,2.0,0.87571615,1.6942105,0.330,3.5,0.0,0.5060131,0.31375447,3.010,1776881978621
10,2.0,2.0,1.0301784,1.4472605,1.116,3.5,0.0,0.511707,0.34250742,3.008,1776881981590
11,3.0,2.0,2.0482752,1.5064188,1.072,3.5,0.0,0.25851083,-0.1666231,3.246,1776881984815
12,3.0,3.0,3.2856545,2.6981182,0.416,3.5,0.0,-0.5017515,-1.1922184,4.176,1776881989447
13,2.0,3.0,2.0058882,2.4669342,0.533,3.5,0.0,0.030143373,0.015995525,3.470,1776881993730
14,1.0,3.0,0.6051362,1.9565051,1.116,3.5,0.0,0.016099172,0.14625283,3.487,1776881998231
15,0.0,3.0,-0.83429515,1.6692126,1.571,3.5,0.0,0.17451496,0.031256896,3.326,1776882000994
16,0.0,4.0,-3.2654932,3.3924534,3.322,3.5,0.0,1.3066399,-0.6218772,2.280,1776882006267
17,1.0,4.0,-1.3498734,3.418309,2.421,3.5,0.0,0.7743956,-0.049463306,2.726,1776882012121
18,2.0,4.0,0.5273055,3.4746006,1.564,3.5,0.0,0.75518334,-0.014282357,2.745,1776882015722
19,3.0,4.0,1.5241168,3.5258887,1.550,3.5,0.0,0.76707995,0.013390039,2.733,1776882018539
