waypoint,gt_x,gt_y,est_x,est_y,pos_err_m,gt_ap_x,gt_ap_y,est_ap_x,est_ap_y,ap_err_m,time_ms
1,1.0,0.0,0.8287665,-2.9402177E-5,0.171,3.5,0.0,NaN,NaN,,1776881721617
2,2.0,0.0,1.9900844,-0.02841536,0.030,3.5,0.0,NaN,NaN,,1776881725292
3,3.0,0.0,3.173914,-0.05552382,0.183,3.5,0.0,NaN,NaN,,1776881727941
4,3.0,1.0,2.600622,0.8228091,0.437,3.5,0.0,1.745894,0.3726531,1.793,1776881732671
5,3.0,2.0,2.65799,2.3302188,0.475,3.5,0.0,1.9388099,-1.2457329,1.997,1776881736134
6,3.0,3.0,2.6488023,3.1901178,0.399,3.5,0.0,1.8884181,-0.8852894,1.839,1776881739423
7,3.0,4.0,2.6527884,3.6040797,0.527,3.5,0.0,2.0821986,-1.5416108,2.094,1776881741830
8,2.0,4.0,1.3797941,3.075047,1.114,3.5,0.0,1.4987315,-0.16568956,2.008,1776881746556
9,1.0,4.0,0.24010853,2.6038127,1.590,3.5,0.0,1.8726315,-0.59456813,1.733,1776881749211
10,0.0,4.0,-1.1679268,2.5995002,1.824,3.5,0.0,2.1745274,-0.95111823,1.631,1776881751965
11,0.0,3.0,-1.4899849,1.6384953,2.018,3.5,0.0,1.8610624,-0.802275,1.825,1776881756425
12,0.0,2.0,-0.9775963,0.67593545,1.646,3.5,0.0,1.6267135,-0.68893296,1.996,1776881759613
13,0.0,1.0,-0.3764712,0.59079826,0.556,3.5,0.0,1.5877849,-0.67395395,2.028,1776881762614
