waypoint,gt_x,gt_y,est_x,est_y,pos_err_m,gt_ap_x,gt_ap_y,est_ap_x,est_ap_y,ap_err_m,time_ms
1,1.0,0.0,0.99437714,-0.008755687,0.010,3.5,0.0,NaN,NaN,,1776882063935
2,2.0,0.0,1.6820989,-0.30981958,0.444,3.5,0.0,1.2272117,0.020911392,2.273,1776882067211
3,3.0,0.0,2.4634562,-2.2508407,2.314,3.5,0.0,1.1945018,-1.5283996,2.766,1776882070284
4,3.0,1.0,2.2948484,-0.7870666,1.921,3.5,0.0,1.4459319,-1.4610716,2.521,1776882075823
5,3.0,2.0,2.5657513,0.88060975,1.201,3.5,0.0,1.1090182,-1.6872773,2.926,1776882078457
6,3.0,3.0,2.7666018,2.3752716,0.667,3.5,0.0,2.2607133,-0.58328354,1.370,1776882081352
7,3.0,4.0,2.7698708,3.1257796,0.904,3.5,0.0,2.3146646,-0.508471,1.290,1776882084117
